"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/.clasp.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 10, 33
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/001-back.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/001-info.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/001-lamp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/002-settings.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/003-refresh.svg", "XML", 0, 0, 0, 0, 0, 51, 0, 2, 53
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/004-nodes.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/assets/logout.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 3, 22
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/helperData/names.js", "JavaScript", 1002, 0, 0, 0, 0, 0, 0, 6, 1008
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/appsscript.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 2, 30
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/classes/list.js", "JavaScript", 54, 0, 0, 0, 0, 0, 10, 11, 75
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/error.js", "JavaScript", 6, 0, 0, 0, 0, 0, 5, 0, 11
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/gdsAddOn/authorization.js", "JavaScript", 41, 0, 0, 0, 0, 0, 28, 21, 90
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/gdsAddOn/config.js", "JavaScript", 71, 0, 0, 0, 0, 0, 5, 25, 101
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/gdsAddOn/getData.js", "JavaScript", 168, 0, 0, 0, 0, 0, 34, 76, 278
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/gdsAddOn/getSchema.js", "JavaScript", 258, 0, 0, 0, 0, 0, 11, 72, 341
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/globalFunctions.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 8, 25
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/pcoApiCalls.js", "JavaScript", 76, 0, 0, 0, 0, 0, 43, 33, 152
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/Pco_CheckinsModule.js", "JavaScript", 81, 0, 0, 0, 0, 0, 12, 32, 125
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/Pco_GivingModule.js", "JavaScript", 101, 0, 0, 0, 0, 0, 26, 53, 180
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/Pco_OrganizationData.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7, 14
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/Pco_PeopleModule.js", "JavaScript", 117, 0, 0, 0, 0, 0, 25, 45, 187
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/calculate_total_storage.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 17, 34
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/dialog.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/menu.js", "JavaScript", 44, 0, 0, 0, 0, 0, 8, 17, 69
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/sidebar-old.html", "HTML", 0, 0, 167, 0, 0, 0, 4, 44, 215
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/sidebar.html", "HTML", 0, 0, 678, 0, 0, 0, 5, 134, 817
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/sheetsAddOn/spreadsheetFunctions.js", "JavaScript", 202, 0, 0, 0, 0, 0, 59, 78, 339
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/syncSettings.js", "JavaScript", 35, 0, 0, 0, 0, 0, 4, 15, 54
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/testData/createTestPeople.js", "JavaScript", 171, 0, 0, 0, 0, 0, 12, 53, 236
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/src/userProperties.js", "JavaScript", 419, 0, 0, 0, 0, 0, 88, 44, 551
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics For Ministry - Dev/workspace.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 8
"Total", "-", 2884, 29, 859, 23, 8, 82, 382, 813, 5080
