"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/.clasp.json", "JSON", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/README.md", "Markdown", 0, 0, 24, 0, 0, 0, 7, 31
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/changelog.md", "Markdown", 0, 0, 43, 0, 0, 0, 18, 61
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/helperData/createTestPeople.js", "JavaScript", 0, 175, 0, 0, 0, 12, 54, 241
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/appsscript.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 56
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/Savvy Tool Belt_Icon_on Light.svg", "XML", 0, 0, 0, 0, 34, 1, 2, 37
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/backButtonSVG.html", "HTML", 0, 0, 0, 9, 0, 0, 1, 10
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/documentIcon.html", "HTML", 0, 0, 0, 70, 0, 1, 2, 73
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/gdsConnectorSVG.html", "HTML", 0, 0, 0, 9, 0, 0, 0, 9
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/infoIcon.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 10
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/jar.html", "HTML", 0, 0, 0, 22, 0, 1, 2, 25
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/learnMore.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 38
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/logoutIcon.html", "HTML", 0, 0, 0, 20, 0, 0, 1, 21
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/refreshIcon.html", "HTML", 0, 0, 0, 20, 0, 0, 1, 21
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/refreshIconSettings.html", "HTML", 0, 0, 0, 21, 0, 0, 1, 22
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/assets/settingsIcon.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 7
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/classes/list.js", "JavaScript", 0, 54, 0, 0, 0, 10, 11, 75
"/Users/coltonshaw/Library/Mobile Documents/com~apple~CloudDocs/Scripts/Metrics for Ministry - Prod/src/error.js", "JavaScript", 0, 10, 0, 0, 0, 5, 1, 16
